Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?node=9689726
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_1Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_2Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_5Y
,"Yield curve instantaneous forward rate, 10-year maturity","Yield curve instantaneous forward rate, 1-year maturity","Yield curve instantaneous forward rate, 2-year maturity","Yield curve instantaneous forward rate, 5-year maturity"
Collection:,End of period (E),End of period (E),End of period (E),End of period (E)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2018-07-12,1.285878,-0.712871,-0.491191,0.507085
2018-07-11,1.297084,-0.706648,-0.484411,0.524844
2018-07-10,1.321933,-0.710768,-0.483329,0.533169
2018-07-09,1.329481,-0.717883,-0.496468,0.530733
2018-07-06,1.280282,-0.734233,-0.510840,0.507099
2018-07-05,1.282522,-0.725505,-0.493722,0.522358
2018-07-04,1.282592,-0.731961,-0.504119,0.513253
2018-07-03,1.287472,-0.747251,-0.522478,0.520391
2018-07-02,1.311692,-0.766029,-0.540935,0.528634
2018-06-29,1.314813,-0.748740,-0.523649,0.531234
2018-06-28,1.352837,-0.761008,-0.536838,0.531481
2018-06-27,1.384959,-0.749564,-0.516519,0.550164
2018-06-26,1.422469,-0.756907,-0.520890,0.568381
2018-06-25,1.416121,-0.747844,-0.519062,0.549702
2018-06-22,1.436200,-0.761196,-0.538425,0.561982
2018-06-21,1.437006,-0.753275,-0.530776,0.563701
2018-06-20,1.464450,-0.726211,-0.488375,0.602222
2018-06-19,1.435925,-0.723313,-0.490039,0.580921
2018-06-18,1.480209,-0.708973,-0.463150,0.624605
2018-06-15,1.464606,-0.708445,-0.460988,0.634580
2018-06-14,1.497467,-0.701245,-0.428650,0.705845
2018-06-13,1.474310,-0.679320,-0.387697,0.745162
2018-06-12,1.518472,-0.678800,-0.375916,0.791194
2018-06-11,1.520518,-0.694977,-0.385841,0.795566
2018-06-08,1.466710,-0.736205,-0.442721,0.740432
2018-06-07,1.499544,-0.689149,-0.382129,0.786461
2018-06-06,1.458590,-0.694096,-0.409368,0.731403
2018-06-05,1.395682,-0.727818,-0.473132,0.635196
2018-06-04,1.398701,-0.701172,-0.437396,0.661829
2018-06-01,1.379707,-0.705559,-0.449491,0.637650
2018-05-31,1.337966,-0.763496,-0.521193,0.572347
2018-05-30,1.377630,-0.778060,-0.547355,0.559604
2018-05-29,1.389297,-0.782503,-0.551070,0.572633
2018-05-28,1.399400,-0.766828,-0.521174,0.603100
2018-05-25,1.433153,-0.723142,-0.467394,0.646882
2018-05-24,1.493211,-0.686157,-0.404652,0.733348
2018-05-23,1.547323,-0.672215,-0.371960,0.785113
2018-05-22,1.567873,-0.654163,-0.332860,0.836214
2018-05-21,1.588423,-0.657416,-0.340480,0.833334
2018-05-18,1.634639,-0.631462,-0.291267,0.908422
2018-05-17,1.627252,-0.623503,-0.272732,0.917245
2018-05-16,1.606246,-0.623365,-0.281937,0.898476
2018-05-15,1.628483,-0.600127,-0.244402,0.935451
2018-05-14,1.593915,-0.608586,-0.262965,0.898918
2018-05-11,1.548627,-0.629440,-0.303247,0.836864
2018-05-10,1.536985,-0.639296,-0.320819,0.808699
2018-05-09,1.572112,-0.625124,-0.303308,0.837656
2018-05-08,1.547693,-0.632541,-0.315307,0.818181
2018-05-07,1.514764,-0.636794,-0.328000,0.786062
2018-05-04,1.534969,-0.633521,-0.320022,0.806623
2018-05-03,1.547355,-0.636732,-0.317844,0.811349
2018-05-02,1.564885,-0.629510,-0.291530,0.850445
2018-04-30,1.559816,-0.631839,-0.300852,0.845336
2018-04-27,1.540183,-0.630098,-0.292907,0.841500
2018-04-26,1.585446,-0.610936,-0.252108,0.904400
2018-04-25,1.619105,-0.611520,-0.252128,0.926695
2018-04-24,1.629289,-0.604463,-0.244297,0.928712
2018-04-23,1.603719,-0.607972,-0.253309,0.906805
2018-04-20,1.583669,-0.614808,-0.267302,0.882342
2018-04-19,1.544056,-0.612377,-0.269896,0.856405
2018-04-18,1.480301,-0.629361,-0.315177,0.768737
2018-04-17,1.491329,-0.640289,-0.327547,0.765950
2018-04-16,1.499375,-0.629881,-0.311883,0.770913
2018-04-13,1.500351,-0.631733,-0.312767,0.772677
2018-04-12,1.481228,-0.623358,-0.307038,0.757524
2018-04-11,1.446192,-0.620340,-0.308483,0.743495
2018-04-10,1.461611,-0.621091,-0.305124,0.760842
2018-04-09,1.478356,-0.635797,-0.323714,0.754375
2018-04-06,1.480408,-0.642847,-0.328831,0.754512
2018-04-05,1.493037,-0.640806,-0.324345,0.767574
2018-04-04,1.459869,-0.658915,-0.345277,0.746425
2018-04-03,1.461641,-0.658492,-0.342910,0.754233
2018-03-29,1.465800,-0.665744,-0.349054,0.749324
2018-03-28,1.454212,-0.663836,-0.340064,0.757404
2018-03-27,1.466439,-0.662384,-0.331489,0.772978
2018-03-26,1.481979,-0.654828,-0.314222,0.803318
2018-03-23,1.490589,-0.656615,-0.311384,0.808008
2018-03-22,1.476163,-0.674714,-0.334116,0.800390
2018-03-21,1.555176,-0.649440,-0.283625,0.891943
2018-03-20,1.549149,-0.653084,-0.297962,0.878543
2018-03-19,1.540459,-0.644754,-0.284618,0.870228
2018-03-16,1.550378,-0.649349,-0.288366,0.869275
2018-03-15,1.541409,-0.642348,-0.287325,0.854237
2018-03-14,1.595439,-0.636974,-0.270407,0.900219
2018-03-13,1.615278,-0.652517,-0.272016,0.937209
2018-03-12,1.607353,-0.642440,-0.267520,0.928724
2018-03-09,1.618579,-0.633101,-0.243923,0.958785
2018-03-08,1.611472,-0.629532,-0.243157,0.956416
2018-03-07,1.635812,-0.618607,-0.232298,0.965593
2018-03-06,1.660898,-0.619114,-0.221919,0.982178
2018-03-05,1.621490,-0.639679,-0.266882,0.922412
2018-03-02,1.609547,-0.642582,-0.274682,0.916558
2018-03-01,1.621329,-0.648734,-0.278729,0.935079
2018-02-28,1.646250,-0.638299,-0.257543,0.963669
2018-02-27,1.643003,-0.626661,-0.232522,0.981534
2018-02-26,1.627514,-0.640472,-0.262003,0.958665
2018-02-23,1.658528,-0.639816,-0.264727,0.970788
2018-02-22,1.719420,-0.623932,-0.228061,1.030640
2018-02-21,1.726608,-0.616756,-0.221580,1.038121
2018-02-20,1.744568,-0.628787,-0.229066,1.056348
2018-02-19,1.754162,-0.620759,-0.210539,1.078464
2018-02-16,1.720148,-0.627720,-0.234388,1.038538
2018-02-15,1.769010,-0.614828,-0.200891,1.105606
2018-02-14,1.762204,-0.622877,-0.207390,1.099686
2018-02-13,1.747661,-0.636704,-0.227707,1.073398
2018-02-12,1.732005,-0.636397,-0.216098,1.093349
2018-02-09,1.711368,-0.617807,-0.196580,1.083462
2018-02-08,1.752706,-0.584899,-0.152430,1.131349
2018-02-07,1.674805,-0.612979,-0.209910,1.030375
2018-02-06,1.680533,-0.613791,-0.222353,1.009533
2018-02-05,1.702598,-0.609687,-0.206796,1.037903
2018-02-02,1.691357,-0.588317,-0.169639,1.071224
2018-02-01,1.651134,-0.598653,-0.201228,1.015069
2018-01-31,1.595589,-0.585400,-0.205301,0.960637
2018-01-30,1.653930,-0.575260,-0.197643,0.976322
2018-01-29,1.607458,-0.569990,-0.192141,0.976243
2018-01-26,1.560475,-0.600578,-0.251210,0.892910
2018-01-25,1.591947,-0.607301,-0.262511,0.893790
2018-01-24,1.625903,-0.643519,-0.334101,0.826141
2018-01-23,1.589510,-0.644529,-0.351706,0.780569
2018-01-22,1.626255,-0.655132,-0.351764,0.810934
2018-01-19,1.617686,-0.644409,-0.339368,0.803593
2018-01-18,1.602452,-0.633196,-0.328890,0.798595
2018-01-17,1.557782,-0.622892,-0.326596,0.762875
2018-01-16,1.567619,-0.629281,-0.336910,0.761565
2018-01-15,1.616473,-0.631723,-0.330812,0.789229
2018-01-12,1.606129,-0.610549,-0.312055,0.800543
2018-01-11,1.649220,-0.620607,-0.342513,0.789788
2018-01-10,1.637555,-0.669789,-0.411116,0.720333
2018-01-09,1.576737,-0.659883,-0.411387,0.668379
2018-01-08,1.552133,-0.666954,-0.432034,0.639986
2018-01-05,1.561182,-0.653787,-0.408140,0.661484
2018-01-04,1.561368,-0.652983,-0.397977,0.678195
2018-01-03,1.568854,-0.666815,-0.414538,0.661722
2018-01-02,1.596311,-0.645080,-0.383025,0.671618
2017-12-29,1.560292,-0.660318,-0.385288,0.663991
2017-12-28,1.518642,-0.669103,-0.405207,0.642547
2017-12-27,1.516716,-0.689361,-0.421731,0.604360
2017-12-22,1.516209,-0.689582,-0.398205,0.640787
2017-12-21,1.546593,-0.691441,-0.395182,0.651555
2017-12-20,1.538536,-0.711675,-0.415480,0.631723
2017-12-19,1.482550,-0.727332,-0.450295,0.564252
2017-12-18,1.393233,-0.744558,-0.492994,0.494776
2017-12-15,1.413860,-0.760362,-0.522200,0.492800
2017-12-14,1.467909,-0.762364,-0.516888,0.528255
2017-12-13,1.472034,-0.771723,-0.554127,0.502527
2017-12-12,1.455220,-0.767092,-0.551014,0.494467
2017-12-11,1.437419,-0.770545,-0.565956,0.471486
2017-12-08,1.470234,-0.791126,-0.589349,0.482595
2017-12-07,1.455346,-0.796036,-0.603882,0.477459
2017-12-06,1.436853,-0.783609,-0.602559,0.465634
2017-12-05,1.477639,-0.760300,-0.552668,0.503202
2017-12-04,1.479053,-0.748294,-0.541460,0.508071
2017-12-01,1.472775,-0.741907,-0.531913,0.513091
2017-11-30,1.516212,-0.728681,-0.522364,0.558989
2017-11-29,1.555659,-0.732583,-0.518966,0.585062
2017-11-28,1.515564,-0.748217,-0.562747,0.525485
2017-11-27,1.526874,-0.729139,-0.575102,0.533957
2017-11-24,1.527505,-0.735695,-0.547046,0.542154
2017-11-23,1.504971,-0.740105,-0.543349,0.528771
2017-11-22,1.533249,-0.743196,-0.558108,0.540006
2017-11-21,1.548411,-0.769508,-0.594477,0.528794
2017-11-20,1.580571,-0.777733,-0.592432,0.538732
2017-11-17,1.606188,-0.773132,-0.588764,0.546831
2017-11-16,1.611766,-0.772559,-0.589172,0.547814
2017-11-15,1.596593,-0.783339,-0.603617,0.526676
2017-11-14,1.669402,-0.765521,-0.577052,0.594295
2017-11-13,1.663824,-0.778057,-0.583120,0.593935
2017-11-10,1.646046,-0.783207,-0.593099,0.573962
2017-11-09,1.611107,-0.777721,-0.600821,0.543987
2017-11-08,1.538922,-0.801763,-0.637710,0.476173
2017-11-07,1.574326,-0.799110,-0.626797,0.509599
2017-11-06,1.569189,-0.772096,-0.613825,0.490744
2017-11-03,1.581366,-0.789631,-0.607807,0.528862
2017-11-02,1.622867,-0.775733,-0.594786,0.554940
2017-11-01,1.608962,-0.788779,-0.608051,0.549153
2017-10-31,1.610108,-0.775815,-0.595098,0.547332
2017-10-30,1.630095,-0.790608,-0.600098,0.543065
2017-10-27,1.680954,-0.781455,-0.586723,0.587062
2017-10-26,1.674586,-0.768267,-0.549656,0.635001
2017-10-25,1.709159,-0.731269,-0.508112,0.680497
2017-10-24,1.688836,-0.740480,-0.526963,0.659587
2017-10-23,1.646440,-0.764739,-0.556652,0.608048
2017-10-20,1.667382,-0.753829,-0.537651,0.637722
2017-10-19,1.589503,-0.769049,-0.569018,0.559847
2017-10-18,1.582781,-0.762198,-0.567757,0.555450
2017-10-17,1.569345,-0.771364,-0.588186,0.526441
2017-10-16,1.599615,-0.778566,-0.592403,0.547880
2017-10-13,1.623715,-0.758844,-0.568638,0.576193
2017-10-12,1.658968,-0.742763,-0.541664,0.628167
2017-10-11,1.656822,-0.724234,-0.526434,0.636536
2017-10-10,1.648081,-0.730100,-0.532326,0.630251
2017-10-09,1.637959,-0.751431,-0.540408,0.627964
2017-10-06,1.699897,-0.722333,-0.500676,0.694110
2017-10-05,1.642983,-0.739245,-0.542804,0.624920
2017-10-04,1.646990,-0.747011,-0.569948,0.616893
2017-10-03,1.681184,-0.741773,-0.555812,0.651720
2017-10-02,1.642407,-0.747874,-0.555724,0.625901
2017-09-29,1.676581,-0.727665,-0.536246,0.646868
2017-09-28,1.701761,-0.740688,-0.534156,0.667310
2017-09-27,1.686419,-0.728235,-0.533551,0.646024
2017-09-26,1.611150,-0.743095,-0.564520,0.574728
2017-09-25,1.609912,-0.692063,-0.525854,0.559610
2017-09-22,1.626761,-0.714531,-0.514475,0.613487
2017-09-21,1.640728,-0.720761,-0.527460,0.612696
2017-09-20,1.631226,-0.722805,-0.545807,0.584943
2017-09-19,1.646801,-0.722831,-0.545594,0.598949
2017-09-18,1.672360,-0.727170,-0.539503,0.621649
2017-09-15,1.633746,-0.741331,-0.565817,0.594042
2017-09-14,1.631011,-0.746678,-0.584153,0.560185
2017-09-13,1.624117,-0.765947,-0.606045,0.556127
2017-09-12,1.581252,-0.770065,-0.621385,0.520357
2017-09-11,1.533500,-0.789653,-0.657681,0.468976
2017-09-08,1.515057,-0.790084,-0.660008,0.457018
2017-09-07,1.500587,-0.786550,-0.659930,0.453523
2017-09-06,1.515703,-0.772855,-0.645236,0.478044
2017-09-05,1.550239,-0.787877,-0.654051,0.496836
2017-09-04,1.573314,-0.769912,-0.635596,0.504406
2017-09-01,1.571633,-0.755368,-0.615469,0.521684
2017-08-31,1.515025,-0.754503,-0.616965,0.479528
2017-08-30,1.525017,-0.748135,-0.606108,0.500932
2017-08-29,1.501355,-0.776114,-0.637084,0.463234
2017-08-28,1.549629,-0.769798,-0.617549,0.507667
2017-08-25,1.546256,-0.738756,-0.575799,0.529883
2017-08-24,1.518981,-0.750353,-0.606226,0.507442
2017-08-23,1.539408,-0.753510,-0.591403,0.527930
2017-08-22,1.564047,-0.737748,-0.575183,0.553627
2017-08-21,1.537926,-0.735677,-0.572973,0.544645
2017-08-18,1.536001,-0.732433,-0.574470,0.537622
2017-08-17,1.600077,-0.711887,-0.548579,0.588585
2017-08-16,1.614335,-0.721817,-0.550497,0.602733
2017-08-15,1.594372,-0.719731,-0.547459,0.595219
2017-08-14,1.566965,-0.741289,-0.576739,0.562892
2017-08-11,1.523850,-0.734151,-0.587946,0.523380
2017-08-10,1.556327,-0.707806,-0.562232,0.551599
2017-08-09,1.571638,-0.709777,-0.560415,0.564466
2017-08-08,1.626256,-0.696263,-0.532016,0.623222
2017-08-07,1.629524,-0.706182,-0.542525,0.625507
2017-08-04,1.627745,-0.700936,-0.522197,0.628406
2017-08-03,1.626350,-0.705631,-0.541994,0.631603
2017-08-02,1.660053,-0.715560,-0.563087,0.654953
2017-08-01,1.688218,-0.713962,-0.547889,0.691968
2017-07-31,1.746075,-0.700166,-0.512046,0.722303
2017-07-28,1.763247,-0.695130,-0.498682,0.727043
2017-07-27,1.720162,-0.704551,-0.502180,0.692685
2017-07-26,1.737462,-0.689638,-0.477878,0.723527
2017-07-25,1.730496,-0.691521,-0.461714,0.720501
2017-07-24,1.673594,-0.694328,-0.496986,0.646771
2017-07-21,1.678532,-0.673135,-0.473809,0.651533
2017-07-20,1.694578,-0.675927,-0.463151,0.692178
2017-07-19,1.683273,-0.675190,-0.455916,0.702132
2017-07-18,1.709241,-0.679297,-0.446718,0.737577
2017-07-17,1.727579,-0.672111,-0.437999,0.753658
2017-07-14,1.718150,-0.670705,-0.438727,0.745814
2017-07-13,1.747088,-0.658942,-0.428152,0.758776
2017-07-12,1.741310,-0.653095,-0.436659,0.763832
2017-07-11,1.776722,-0.641125,-0.417261,0.800816
2017-07-10,1.770550,-0.653911,-0.446706,0.794604
2017-07-07,1.787469,-0.641834,-0.415172,0.810761
2017-07-06,1.750872,-0.626913,-0.391646,0.788178
2017-07-05,1.709823,-0.616240,-0.456382,0.676506
2017-07-04,1.680763,-0.639726,-0.445923,0.656730
2017-07-03,1.638631,-0.628351,-0.440830,0.636116
2017-06-30,1.631847,-0.603723,-0.410140,0.649899
2017-06-29,1.585564,-0.614994,-0.425885,0.612413
2017-06-28,1.505720,-0.628636,-0.462617,0.533309
2017-06-27,1.459095,-0.623309,-0.476772,0.456571
2017-06-26,1.397120,-0.667298,-0.562962,0.353629
2017-06-23,1.413545,-0.663027,-0.555329,0.372452
2017-06-22,1.397339,-0.680205,-0.576019,0.373158
2017-06-21,1.415632,-0.676681,-0.566226,0.396149
2017-06-20,1.446943,-0.689685,-0.591323,0.395058
2017-06-19,1.496491,-0.685004,-0.584517,0.416842
2017-06-16,1.487292,-0.700445,-0.592121,0.412316
2017-06-15,1.482904,-0.678131,-0.577739,0.432125
2017-06-14,1.448010,-0.738499,-0.644091,0.380925
2017-06-13,1.501799,-0.746150,-0.654177,0.405034
2017-06-12,1.502055,-0.780385,-0.679986,0.400027
2017-06-09,1.531645,-0.788909,-0.680925,0.425054
2017-06-08,1.509467,-0.777090,-0.672917,0.414141
2017-06-07,1.508632,-0.787792,-0.679890,0.409865
2017-06-06,1.525289,-0.778234,-0.681048,0.412168
2017-06-05,1.552877,-0.754765,-0.659640,0.430345
2017-06-02,1.529410,-0.771924,-0.671609,0.422472
2017-06-01,1.577341,-0.753539,-0.654003,0.463072
2017-05-31,1.544038,-0.757263,-0.668201,0.427274
2017-05-30,1.541590,-0.759974,-0.658276,0.442670
2017-05-29,1.543192,-0.752710,-0.653885,0.449671
2017-05-26,1.560514,-0.726239,-0.617460,0.483465
2017-05-25,1.599456,-0.719276,-0.590594,0.517932
2017-05-24,1.634220,-0.699010,-0.576812,0.560077
2017-05-23,1.639716,-0.672627,-0.571801,0.547780
2017-05-22,1.626493,-0.699849,-0.555954,0.543243
2017-05-19,1.602171,-0.704028,-0.587444,0.515857
2017-05-18,1.554352,-0.715441,-0.596373,0.482343
2017-05-17,1.608173,-0.711855,-0.578158,0.546849
2017-05-16,1.651377,-0.666119,-0.551753,0.594163
2017-05-15,1.632870,-0.691260,-0.530682,0.580203
2017-05-12,1.584424,-0.706898,-0.525979,0.560236
2017-05-11,1.622166,-0.691668,-0.507781,0.600291
2017-05-10,1.582940,-0.709091,-0.530195,0.562763
2017-05-09,1.638218,-0.698266,-0.537626,0.611560
2017-05-08,1.593337,-0.715675,-0.547811,0.583677
2017-05-05,1.580581,-0.722578,-0.561262,0.566780
2017-05-04,1.559630,-0.742799,-0.567504,0.545522
2017-05-03,1.486926,-0.751352,-0.603583,0.467587
2017-05-02,1.488982,-0.758895,-0.615177,0.474356
2017-04-28,1.499422,-0.750851,-0.610823,0.479660
2017-04-27,1.473530,-0.747366,-0.587781,0.480426
2017-04-26,1.505793,-0.727742,-0.557085,0.529350
2017-04-25,1.493247,-0.721359,-0.553202,0.518963
2017-04-24,1.467320,-0.718940,-0.563037,0.510084
2017-04-21,1.342438,-0.809171,-0.678882,0.426115
2017-04-20,1.348910,-0.816885,-0.701049,0.421127
2017-04-19,1.296300,-0.831057,-0.722246,0.357190
2017-04-18,1.320188,-0.878398,-0.803030,0.362877
2017-04-13,1.332024,-0.893423,-0.816080,0.344626
2017-04-12,1.377947,-0.873583,-0.797155,0.385201
2017-04-11,1.401690,-0.871583,-0.797686,0.391078
2017-04-10,1.412909,-0.859104,-0.790443,0.379926
2017-04-07,1.402934,-0.835281,-0.765325,0.364379
2017-04-06,1.451519,-0.815616,-0.732605,0.397008
2017-04-05,1.481311,-0.835275,-0.717767,0.420548
2017-04-04,1.453069,-0.838996,-0.750382,0.398284
2017-04-03,1.528392,-0.820877,-0.720796,0.481933
2017-03-31,1.519713,-0.746244,-0.642860,0.472579
2017-03-30,1.518313,-0.769842,-0.631548,0.500671
2017-03-29,1.528160,-0.782662,-0.621915,0.517822
2017-03-28,1.520668,-0.734929,-0.546402,0.544940
2017-03-27,1.503952,-0.732759,-0.533616,0.542655
2017-03-24,1.565168,-0.758884,-0.559001,0.581551
2017-03-23,1.562671,-0.782394,-0.587653,0.577742
2017-03-22,1.546164,-0.800218,-0.594743,0.587857
2017-03-21,1.642327,-0.760390,-0.534532,0.665121
2017-03-20,1.627499,-0.801162,-0.601550,0.649919
2017-03-17,1.624179,-0.818230,-0.588341,0.661704
2017-03-16,1.651798,-0.827804,-0.598692,0.672290
2017-03-15,1.629950,-0.851616,-0.633759,0.636309
2017-03-14,1.650454,-0.837762,-0.606783,0.675227
2017-03-13,1.677769,-0.851843,-0.601391,0.692689
2017-03-10,1.734948,-0.881830,-0.647350,0.674015
2017-03-09,1.657130,-0.881247,-0.688726,0.572387
2017-03-08,1.655839,-0.881444,-0.719279,0.555939
2017-03-07,1.616276,-0.903118,-0.767251,0.489668
2017-03-06,1.561281,-0.861411,-0.709806,0.489079
2017-03-03,1.604267,-0.856296,-0.720351,0.498170
2017-03-02,1.579233,-0.880016,-0.772117,0.446306
2017-03-01,1.533411,-0.876257,-0.796583,0.388541
2017-02-28,1.457861,-0.916928,-0.855210,0.341479
2017-02-27,1.423906,-0.944982,-0.871143,0.346165
2017-02-24,1.448441,-0.963426,-0.895243,0.365875
2017-02-23,1.515438,-0.928616,-0.867533,0.405598
2017-02-22,1.537800,-0.934684,-0.847375,0.420746
2017-02-21,1.628011,-0.882578,-0.770865,0.505988
2017-02-20,1.582392,-0.878835,-0.764568,0.489869
2017-02-17,1.549082,-0.845244,-0.746652,0.461315
2017-02-16,1.648437,-0.813265,-0.698959,0.519777
2017-02-15,1.700774,-0.824911,-0.723464,0.557880
2017-02-14,1.613807,-0.836083,-0.737678,0.511961
2017-02-13,1.609724,-0.834826,-0.736936,0.513460
2017-02-10,1.591250,-0.825100,-0.742225,0.521235
2017-02-09,1.531594,-0.837306,-0.759330,0.476486
2017-02-08,1.564065,-0.847841,-0.763686,0.504081
2017-02-07,1.655781,-0.817561,-0.731423,0.582873
2017-02-06,1.577125,-0.813982,-0.710298,0.534648
2017-02-03,1.660880,-0.794563,-0.657167,0.611441
2017-02-02,1.619980,-0.783827,-0.654962,0.595006
2017-02-01,1.679530,-0.745859,-0.618388,0.661639
2017-01-31,1.627684,-0.718941,-0.597659,0.639531
2017-01-30,1.616351,-0.700534,-0.590418,0.630064
2017-01-27,1.645650,-0.701744,-0.616598,0.626759
2017-01-26,1.659266,-0.698110,-0.614429,0.614354
2017-01-25,1.694317,-0.686769,-0.634147,0.584198
2017-01-24,1.606025,-0.705718,-0.669939,0.493770
2017-01-23,1.618460,-0.713756,-0.674135,0.498378
2017-01-20,1.595052,-0.720623,-0.634017,0.494563
2017-01-19,1.573181,-0.749878,-0.652778,0.494162
2017-01-18,1.525227,-0.749874,-0.680691,0.428551
2017-01-17,1.437352,-0.776752,-0.730629,0.348997
2017-01-16,1.497226,-0.775500,-0.701865,0.408939
2017-01-13,1.486247,-0.758606,-0.663154,0.392059
2017-01-12,1.442189,-0.749564,-0.664791,0.390799
2017-01-11,1.422286,-0.747606,-0.661375,0.398785
2017-01-10,1.472002,-0.771185,-0.683267,0.445273
2017-01-09,1.477295,-0.764912,-0.700142,0.442923
2017-01-06,1.442174,-0.741928,-0.678314,0.446870
2017-01-05,1.459087,-0.773312,-0.703921,0.452364
2017-01-04,1.462786,-0.807463,-0.747789,0.437983
2017-01-03,1.440636,-0.814979,-0.772121,0.428743
2017-01-02,1.320838,-0.830720,-0.812722,0.317712
2016-12-30,1.351704,-0.775387,-0.746076,0.346077
2016-12-29,1.283609,-0.786504,-0.726306,0.354836
2016-12-28,1.321097,-0.823744,-0.767982,0.375645
2016-12-27,1.301324,-0.815599,-0.754434,0.406993
2016-12-23,1.352189,-0.807183,-0.734457,0.406286
2016-12-22,1.404087,-0.810992,-0.741270,0.449895
2016-12-21,1.400496,-0.798075,-0.751005,0.432179
2016-12-20,1.420829,-0.810723,-0.752842,0.453318
2016-12-19,1.466782,-0.810678,-0.780845,0.477428
2016-12-16,1.489138,-0.817195,-0.748576,0.502410
2016-12-15,1.599119,-0.799379,-0.727762,0.535270
2016-12-14,1.538030,-0.772741,-0.729223,0.478235
2016-12-13,1.606443,-0.748905,-0.709404,0.517305
2016-12-12,1.696746,-0.781157,-0.660270,0.586212
2016-12-09,1.581118,-0.790420,-0.690899,0.496282
2016-12-08,1.493044,-0.733564,-0.569011,0.570199
2016-12-07,1.429618,-0.727143,-0.566761,0.519784
2016-12-06,1.403273,-0.744124,-0.578704,0.515381
2016-12-05,1.418915,-0.752894,-0.588254,0.520778
2016-12-02,1.417676,-0.780955,-0.612751,0.515408
2016-12-01,1.395613,-0.796411,-0.658196,0.486708
2016-11-30,1.294310,-0.800658,-0.686915,0.389363
2016-11-29,1.282706,-0.799736,-0.678948,0.389495
2016-11-28,1.218055,-0.810634,-0.696472,0.363138
2016-11-25,1.289171,-0.800165,-0.670245,0.412511
2016-11-24,1.296559,-0.781740,-0.648691,0.414895
2016-11-23,1.314885,-0.737699,-0.581938,0.449057
2016-11-22,1.233943,-0.770140,-0.632560,0.381503
2016-11-21,1.263504,-0.727449,-0.558976,0.433918
2016-11-18,1.215589,-0.719251,-0.544741,0.405603
2016-11-17,1.258454,-0.691487,-0.516374,0.439802
2016-11-16,1.280282,-0.684136,-0.486434,0.448169
2016-11-15,1.268906,-0.683114,-0.492239,0.429515
2016-11-14,1.331229,-0.658797,-0.455415,0.460214
2016-11-11,1.283029,-0.656325,-0.472270,0.387054
2016-11-10,1.274561,-0.669696,-0.485073,0.379040
2016-11-09,1.089259,-0.697174,-0.565424,0.206692
2016-11-08,1.036966,-0.677111,-0.544897,0.181918
2016-11-07,1.029448,-0.679257,-0.549062,0.179035
2016-11-04,1.000331,-0.687795,-0.566423,0.150321
2016-11-03,1.064656,-0.670923,-0.542273,0.196965
2016-11-02,1.036755,-0.666494,-0.563589,0.166705
2016-11-01,1.094878,-0.649220,-0.524662,0.201612
2016-10-31,1.031952,-0.654692,-0.510776,0.166180
2016-10-28,1.064038,-0.659310,-0.516481,0.179709
2016-10-27,1.077239,-0.662704,-0.533635,0.161152
2016-10-26,0.952007,-0.672930,-0.562631,0.069482
2016-10-25,0.872395,-0.689127,-0.600806,-0.001697
2016-10-24,0.855197,-0.692740,-0.617170,-0.026579
2016-10-21,0.818837,-0.691081,-0.617759,-0.045373
2016-10-20,0.836381,-0.704145,-0.616031,-0.012952
2016-10-19,0.889879,-0.697811,-0.635742,-0.026922
2016-10-18,0.916514,-0.705488,-0.624904,0.017386
2016-10-17,0.936108,-0.693201,-0.619357,0.028926
2016-10-14,0.913882,-0.698872,-0.613557,0.027402
2016-10-13,0.869001,-0.695556,-0.616903,-0.008031
2016-10-12,0.928080,-0.689661,-0.609165,0.027322
2016-10-11,0.917821,-0.687631,-0.623874,0.004576
2016-10-10,0.925270,-0.694419,-0.617850,0.008690
2016-10-07,0.847924,-0.702010,-0.637957,-0.052526
2016-10-06,0.827379,-0.700943,-0.634674,-0.050575
2016-10-05,0.786051,-0.704835,-0.663122,-0.090534
2016-10-04,0.704254,-0.711810,-0.695179,-0.157757
2016-10-03,0.658235,-0.708268,-0.694491,-0.183732
2016-09-30,0.635051,-0.713788,-0.710885,-0.216910
2016-09-29,0.653793,-0.716819,-0.700951,-0.185628
2016-09-28,0.635164,-0.722986,-0.724514,-0.220447
2016-09-27,0.644392,-0.714634,-0.737789,-0.221635
2016-09-26,0.668250,-0.691943,-0.706583,-0.177704
2016-09-23,0.698999,-0.685868,-0.694752,-0.143219
2016-09-22,0.719014,-0.682801,-0.704441,-0.140469
2016-09-21,0.825554,-0.673858,-0.671231,-0.054980
2016-09-20,0.819266,-0.674905,-0.687409,-0.077186
2016-09-19,0.903460,-0.663178,-0.672375,-0.048250
2016-09-16,0.892172,-0.668202,-0.673446,-0.050591
2016-09-15,0.931697,-0.662542,-0.654331,-0.000145
2016-09-14,0.876094,-0.664002,-0.663474,-0.034358
2016-09-13,0.848876,-0.645483,-0.639130,-0.034335
2016-09-12,0.848169,-0.647210,-0.646899,-0.033874
