"","range_tw",""
"1",250,0.13909
"2",240,0.13614
"3",230,0.13358
"4",220,0.13147
"5",210,0.12983
"6",200,0.12817
"7",190,0.1255
"8",180,0.12493
"9",170,0.12398
"10",160,0.12377
"11",150,0.12407
