"","range_tw",""
"1",250,0.38082
"2",240,0.37205
"3",230,0.36298
"4",220,0.35394
"5",210,0.35018
"6",200,0.35441
"7",190,0.35733
"8",180,0.35088
"9",170,0.34198
"10",160,0.33698
"11",150,0.33103
