"","range_tw",""
"1",250,0.22517
"2",240,0.22351
"3",230,0.21783
"4",220,0.21289
"5",210,0.21222
"6",200,0.21483
"7",190,0.21394
"8",180,0.20855
"9",170,0.20431
"10",160,0.20264
"11",150,0.19916
