"","range_tw",""
"1",250,1.62059
"2",240,1.64384
"3",230,1.73167
"4",220,1.70383
"5",210,1.65662
"6",200,1.61104
"7",190,1.57461
"8",180,1.5347
"9",170,1.49915
"10",160,1.4636
"11",150,1.43906
