,0,1,2,3,4,5,6,7,8
0,13.329912393040455,14.342874582092898,14.651423529250879,14.721952737931181,14.417379273476106,14.371650357781716,13.612422936788295,13.309607778579403,12.881440605572513
1,13.329914516954966,14.342873270426015,14.65142063975263,14.721953175246936,14.41738444708859,14.371646404264679,13.612422964193751,13.309608271681492,12.881440497447342
2,13.3299141488081,14.342872976831659,14.651420609307268,14.721953811201868,14.417385351383292,14.371645958318796,13.612421906501122,13.30960905257977,12.881440364554667
3,13.329913611017323,14.342872751610168,14.651420772853397,14.72195446300993,14.41738596687562,14.371645746513982,13.612420778148046,13.309609851710604,12.881440230170766
4,13.329913063492265,14.34287252993192,14.651420947209601,14.721955116469019,14.41738656695837,14.37164554630562,13.61241964663709,13.309610651588288,12.881440095745159
5,13.329912512061624,14.342872309097638,14.651421125514021,14.721955771980829,14.417387162358501,14.371645347308114,13.612418516266386,13.309611450727486,12.881439961452026
6,13.329911959279046,14.34287208813042,14.651421304870087,14.721956429159475,14.417387757342526,14.371645146321278,13.612417387811561,13.30961224898897,12.881439827294743
7,13.329911406063479,14.342871866789267,14.65142148430071,14.721957087562778,14.417388353156406,14.371644943010827,13.612416260890221,13.309613046627497,12.88143969323111
8,13.329910851717276,14.342871645377148,14.65142166463078,14.721957747235235,14.417388948515278,14.371644738386022,13.612415135276345,13.309613843667561,12.881439559263859
9,13.329910296104309,14.34287142394458,14.651421846018966,14.72195840821876,14.41738954318833,14.371644532544824,13.612414011025539,13.309614640062932,12.881439425401343
10,13.329909738962415,14.342871202561176,14.6514220287479,14.721959070647813,14.417390136813252,14.37164432555533,13.612412888287944,13.30961543571636,12.88143929165979
11,13.329909182534806,14.342870980584683,14.651422210408455,14.72195973361936,14.41739073256144,14.371644116076805,13.61241176664125,13.309616230999467,12.8814391579726
12,13.329908623464629,14.342870759105685,14.651422394693261,14.721960398164672,14.417391325327552,14.371643906949446,13.612410646128243,13.309617025609272,12.881439024405015
13,13.32990806375121,14.342870537403046,14.6514225793559,14.72196106385206,14.417391918355351,14.371643696006455,13.61240952705573,13.309617819580465,12.881438890938748
14,13.329907502871576,14.342870315684971,14.651422765001776,14.72196173076021,14.417392510733878,14.3716434838935,13.612408409324306,13.309618612902613,12.881438757579765
15,13.329906942007401,14.342870093609907,14.65142295035467,14.721962398405969,14.417393104153657,14.371643269941522,13.61240729263447,13.309619405815578,12.881438624286108
16,13.329906379578285,14.342869871727004,14.651423137185262,14.721963067212336,14.417393696096068,14.37164305561971,13.61240617699442,13.309620198163456,12.881438491091835
17,13.329905817947854,14.34286964932761,14.651423322937207,14.721963736318877,14.417394289985351,14.371642839263984,13.612405062172144,13.309620990237867,12.881438357941118
18,13.32990525394675,14.342869427425127,14.651423511083426,14.721964406731468,14.417394881051536,14.37164262348099,13.612403948236024,13.309621781746257,12.881438224895996
19,13.32990468915904,14.342869205422836,14.65142369983033,14.72196507818175,14.417395471929282,14.371642406352343,13.612402835601271,13.309622572634758,12.881438091953784
20,13.329904124355457,14.342868983118864,14.651423888356733,14.721965750292592,14.417396063666718,14.371642187618628,13.612401723916497,13.30962336313425,12.881437959076347
21,13.329903558397987,14.342868760923098,14.651424077947835,14.72196642333428,14.417396654409442,14.371641968423859,13.612400613132472,13.309624153154985,12.881437826285202
22,13.329902992699896,14.342868538402154,14.651424267064662,14.721967096803676,14.417397246240245,14.371641747759126,13.612399503078699,13.309624942894049,12.881437693543187
23,13.329902425458105,14.342868316159427,14.651424457710291,14.72196777123598,14.417397836352686,14.371641527169054,13.61239839384304,13.309625732143052,12.881437560893033
24,13.329901858323355,14.34286809363673,14.651424648049488,14.721968446164155,14.417398427330118,14.371641305173023,13.612397285409662,13.30962652105929,12.881437428300876
25,13.329901289999798,14.342867871280827,14.651424839530684,14.72196912194,14.417399017118598,14.371641082967962,13.61239617777967,13.309627309519925,12.881437295793747
