"","range_tw",""
"1",250,0.1078
"2",240,0.10735
"3",230,0.10493
"4",220,0.10399
"5",210,0.10431
"6",200,0.10376
"7",190,0.10254
"8",180,0.10117
"9",170,0.0999
"10",160,0.10011
"11",150,0.09946
