"","range_tw",""
"1",250,0.24567
"2",240,0.2397
"3",230,0.23325
"4",220,0.22903
"5",210,0.22446
"6",200,0.22225
"7",190,0.21685
"8",180,0.21315
"9",170,0.21017
"10",160,0.20705
"11",150,0.20482
