"Tarih,""Şimdi"",""Açılış"",""Yüksek"",""Düşük"",""Hac."",""Fark %"""
"25.07.2023,""9.537,19"",""9.538,69"",""9.539,68"",""9.537,19"","""",""-0,07%"""
"08.05.2023,""9.211,30"",""9.162,20"",""9.221,80"",""9.157,90"",""81,67M"",""0,70%"""
"05.05.2023,""9.147,30"",""9.097,30"",""9.147,30"",""9.047,70"",""144,36M"",""1,15%"""
"04.05.2023,""9.043,60"",""9.050,60"",""9.056,60"",""8.967,30"",""150,28M"",""-0,36%"""
"03.05.2023,""9.076,70"",""9.118,40"",""9.132,20"",""9.035,10"",""136,59M"",""-0,06%"""
"02.05.2023,""9.082,00"",""9.248,20"",""9.264,90"",""9.069,10"",""172,43M"",""-1,72%"""
"28.04.2023,""9.241,00"",""9.334,60"",""9.338,90"",""9.159,80"",""233,88M"",""-0,79%"""
"27.04.2023,""9.314,60"",""9.255,10"",""9.334,20"",""9.226,40"",""128,41M"",""0,22%"""
"26.04.2023,""9.293,70"",""9.259,50"",""9.297,70"",""9.193,50"",""165,80M"",""0,04%"""
"25.04.2023,""9.290,30"",""9.349,50"",""9.352,10"",""9.267,60"",""167,26M"",""-1,23%"""
"24.04.2023,""9.406,40"",""9.382,50"",""9.433,90"",""9.362,90"",""99,65M"",""-0,10%"""
"21.04.2023,""9.415,60"",""9.434,10"",""9.436,60"",""9.366,30"",""205,59M"",""-0,37%"""
"20.04.2023,""9.450,90"",""9.505,50"",""9.540,50"",""9.425,00"",""153,37M"",""-0,46%"""
"19.04.2023,""9.494,80"",""9.416,40"",""9.498,70"",""9.405,40"",""117,66M"",""0,77%"""
"18.04.2023,""9.421,90"",""9.409,40"",""9.445,40"",""9.381,50"",""143,02M"",""0,46%"""
"17.04.2023,""9.378,50"",""9.387,40"",""9.413,40"",""9.361,00"",""154,77M"",""0,17%"""
"14.04.2023,""9.362,90"",""9.337,50"",""9.375,40"",""9.313,20"",""152,45M"",""0,57%"""
"13.04.2023,""9.310,00"",""9.284,10"",""9.320,20"",""9.238,70"",""109,72M"",""0,34%"""
"12.04.2023,""9.278,70"",""9.258,80"",""9.324,60"",""9.253,60"",""130,92M"",""0,44%"""
"11.04.2023,""9.237,70"",""9.352,50"",""9.378,40"",""9.227,10"",""154,54M"",""-0,80%"""
"06.04.2023,""9.312,30"",""9.249,50"",""9.323,50"",""9.232,60"",""128,32M"",""0,62%"""
"05.04.2023,""9.254,60"",""9.202,80"",""9.254,60"",""9.196,50"",""140,13M"",""0,78%"""
"04.04.2023,""9.183,20"",""9.174,10"",""9.257,50"",""9.168,50"",""120,08M"",""0,28%"""
"03.04.2023,""9.157,40"",""9.214,60"",""9.233,50"",""9.135,50"",""129,26M"",""-0,81%"""
"31.03.2023,""9.232,50"",""9.234,10"",""9.254,50"",""9.183,80"",""178,94M"",""0,28%"""
"30.03.2023,""9.207,10"",""9.137,00"",""9.226,40"",""9.131,20"",""149,63M"",""1,50%"""
"29.03.2023,""9.070,70"",""8.985,80"",""9.075,30"",""8.962,40"",""131,05M"",""1,41%"""
"28.03.2023,""8.944,30"",""8.985,20"",""9.019,10"",""8.911,00"",""153,71M"",""0,43%"""
"27.03.2023,""8.906,10"",""8.897,60"",""8.935,70"",""8.839,80"",""187,28M"",""1,29%"""
"24.03.2023,""8.792,50"",""8.931,00"",""8.933,00"",""8.703,30"",""289,52M"",""-1,98%"""
"23.03.2023,""8.970,00"",""8.967,70"",""9.027,70"",""8.921,60"",""155,23M"",""-0,44%"""
"22.03.2023,""9.009,30"",""9.037,40"",""9.100,20"",""9.001,70"",""197,22M"",""-0,44%"""
"21.03.2023,""9.049,40"",""8.928,40"",""9.085,40"",""8.918,80"",""248,78M"",""2,45%"""
"20.03.2023,""8.833,10"",""8.668,70"",""8.875,30"",""8.501,20"",""359,82M"",""1,31%"""
"17.03.2023,""8.719,30"",""8.934,70"",""9.027,40"",""8.655,30"",""477,66M"",""-1,92%"""
"16.03.2023,""8.890,20"",""8.927,50"",""8.984,60"",""8.731,00"",""324,58M"",""1,50%"""
"15.03.2023,""8.759,10"",""9.161,80"",""9.169,70"",""8.736,50"",""422,53M"",""-4,37%"""
"14.03.2023,""9.159,00"",""8.936,00"",""9.181,00"",""8.914,60"",""300,03M"",""2,23%"""
"13.03.2023,""8.958,90"",""9.272,30"",""9.273,60"",""8.894,50"",""426,52M"",""-3,51%"""
"10.03.2023,""9.285,00"",""9.246,60"",""9.296,50"",""9.182,70"",""279,92M"",""-1,47%"""
