"","V1"
"1",0.0388671018292268
"2",0.04716036456458
"3",0.0406556817959767
"4",0.0832787531626587
"5",0
"6",0.0524904753381106
"7",0.0321577113331006
"8",0.0656358273086917
"9",0.0812856958993493
"10",0.148078613490925
"11",0
"12",0.0817894620080166
"13",0.127697943269448
"14",1.3727285253162
"15",1.82091373484229
"16",2.03208200985694
"17",0
"18",1.33835555332122
"19",0.00421720939617246
"20",0.0246953026364249
"21",0.0130443682188727
"22",0.0726974897668423
"23",0.0228749799569113
"24",0.029768264632616
"25",0.056093237513061
"26",0.0378418627911746
"27",0.0469599156157866
"28",0.0902423766008469
"29",0.140529182565384
"30",0.0421378760373284
"31",0.152973966847348
"32",0
"33",0.0564673871214438
"34",0.0321577113331006
"35",0.0656358273086917
"36",0.0812856958993493
"37",0.148078613490925
"38",0.0776837212141227
"39",0.0576637167859249
"40",0.0718786697260208
"41",0.0962313859748815
"42",0.109464467048469
"43",0.125856693323533
"44",0.112390200452499
"45",0.0880813478038042
"46",0.0939654497275686
"47",0
"48",0.0892595000068377
"49",0.127697943269448
"50",1.3727285253162
"51",1.82091373484229
"52",2.03208200985694
"53",2.49127617201252
"54",2.35642218368865
"55",2.23405436494558
"56",2.38238643279342
"57",2.62568057903775
"58",2.57695751413951
"59",2.83288661553932
"60",2.55143311435641
"61",3.51056659614645
"62",0
"63",2.22423736814958
"64",1.18212933312231
"65",1.18258710708519
"66",1.18144383942858
"67",1.19350580843088
"68",1.1832095954613
"69",1.18160681151607
"70",1.19012942358087
"71",1.18513920927461
"72",1.18600952865712
"73",1.19174332894479
"74",1.2038997567454
"75",1.18867723562716
"76",1.21122856462368
"77",1.20057699683625
"78",1.18263681607859
"79",1.17751275793882
"80",1.17957827817101
"81",1.17912758124826
"82",1.17798616750213
"83",1.18759038044955
"84",1.2263937354634
"85",1.17089333737878
"86",1.17803826144827
"87",1.17516719028157
"88",1.17993594766529
"89",1.18515525650105
"90",0
"91",1.18699624036388
"92",0.0321577113331006
"93",0.0656358273086917
"94",0.0812856958993493
"95",0.148078613490925
"96",0.0776837212141227
"97",0.0576637167859249
"98",0.0718786697260208
"99",0.0962313859748815
"100",0.109464467048469
"101",0.125856693323533
"102",0.112390200452499
"103",0.0880813478038042
"104",0.0939654497275686
"105",0.0900557317894252
"106",0.157941123145413
"107",0.206706654696031
"108",0.189009676368881
"109",0.162816552537513
"110",0.325277031271641
"111",0.654576617610855
"112",1.23793765032433
"113",1.20343420450588
"114",1.31752716847496
"115",1.31822066523915
"116",1.29031921198471
"117",1.23099618606084
"118",0
"119",0.405584306696097
"120",0.127697943269448
"121",1.3727285253162
"122",1.82091373484229
"123",2.03208200985694
"124",2.49127617201252
"125",2.35642218368865
"126",2.23405436494558
"127",2.38238643279342
"128",2.62568057903775
"129",2.57695751413951
"130",2.83288661553932
"131",2.55143311435641
"132",3.51056659614645
"133",3.9179133921041
"134",4.16379611804891
"135",3.95677045812175
"136",3.42557896722985
"137",3.19911818324965
"138",2.46320137707975
"139",2.25123613690224
"140",2.74550998541213
"141",2.60140427163544
"142",2.70668768535512
"143",2.81431462204688
"144",2.30287269488606
"145",2.52619033718308
"146",0
"147",2.61498769289229
