"","range_tw",""
"1",250,2.56771
"2",240,2.61616
"3",230,2.73915
"4",220,2.76496
"5",210,2.70002
"6",200,2.61869
"7",190,2.56646
"8",180,2.50344
"9",170,2.43696
"10",160,2.37338
"11",150,2.3332
