"","range_tw",""
"1",250,0.36067
"2",240,0.35188
"3",230,0.34044
"4",220,0.33219
"5",210,0.32592
"6",200,0.31945
"7",190,0.31233
"8",180,0.30532
"9",170,0.29878
"10",160,0.29274
"11",150,0.28779
